Wavelength_(microns);Solar_Flux_(W/m^2/micron)
0.901;9.05E+02
0.903;9.05E+02
0.905;8.93E+02
0.907;8.91E+02
0.909;8.61E+02
0.911;8.70E+02
0.913;8.76E+02
0.915;8.66E+02
0.917;8.59E+02
0.919;8.58E+02
0.921;8.30E+02
0.923;8.21E+02
0.925;8.25E+02
0.927;8.28E+02
0.929;8.33E+02
0.931;8.26E+02
0.933;8.32E+02
0.935;8.18E+02
0.937;8.02E+02
0.939;8.08E+02
0.941;8.00E+02
0.943;7.84E+02
0.945;7.99E+02
0.947;7.93E+02
0.949;7.77E+02
0.951;7.78E+02
0.953;7.71E+02
0.955;7.60E+02
0.957;7.74E+02
0.959;7.71E+02
0.961;7.67E+02
0.963;7.67E+02
0.965;7.64E+02
0.967;7.57E+02
0.969;7.76E+02
0.971;7.63E+02
0.973;7.64E+02
0.975;7.50E+02
0.977;7.68E+02
0.979;7.68E+02
0.981;7.62E+02
0.983;7.67E+02
0.985;7.71E+02
0.987;7.56E+02
0.989;7.67E+02
0.991;7.64E+02
0.993;7.55E+02
0.995;7.56E+02
0.997;7.43E+02
0.999;7.43E+02
1.0025;7.45E+02
1.0075;7.37E+02
1.0125;7.34E+02
1.0175;7.21E+02
1.0225;7.04E+02
1.0275;7.08E+02
1.0325;6.88E+02
1.0375;6.92E+02
1.0425;6.81E+02
1.0475;6.85E+02
1.0525;6.61E+02
1.0575;6.50E+02
1.0625;6.42E+02
1.0675;6.43E+02
1.0725;6.38E+02
1.0775;6.30E+02
1.0825;6.21E+02
1.0875;6.14E+02
1.0925;6.12E+02
1.0975;5.99E+02
1.1025;6.08E+02
1.1075;6.01E+02
1.1125;6.03E+02
1.1175;5.89E+02
1.1225;5.79E+02
1.1275;5.69E+02
1.1325;5.66E+02
1.1375;5.63E+02
1.1425;5.57E+02
1.1475;5.56E+02
1.1525;5.45E+02
1.1575;5.54E+02
1.1625;5.40E+02
1.1675;5.30E+02
1.1725;5.33E+02
1.1775;5.25E+02
1.1825;5.15E+02
1.1875;5.12E+02
1.1925;5.11E+02
1.1975;5.02E+02
1.2025;4.96E+02
1.2075;4.94E+02
1.2125;4.89E+02
1.2175;5.00E+02
1.2225;4.81E+02
1.2275;4.81E+02
1.2325;4.84E+02
1.2375;4.77E+02
1.2425;4.77E+02
1.2475;4.66E+02
1.2525;4.74E+02
1.2575;4.63E+02
1.2625;4.44E+02
1.2675;4.38E+02
1.2725;4.39E+02
1.2775;4.53E+02
1.2825;4.35E+02
1.2875;4.37E+02
1.2925;4.43E+02
1.2975;4.38E+02
1.3025;4.38E+02
1.3075;4.29E+02
1.3125;4.19E+02
1.3175;4.16E+02
1.3225;4.16E+02
1.3275;4.11E+02
1.3325;4.05E+02
1.3375;4.00E+02
1.3425;3.98E+02
1.3475;3.95E+02
1.3525;3.87E+02
1.3575;3.82E+02
1.3625;3.78E+02
1.3675;3.70E+02
1.3725;3.69E+02
1.3775;3.68E+02
1.3825;3.64E+02
1.3875;3.64E+02
1.3925;3.58E+02
1.3975;3.57E+02
1.4025;3.53E+02
1.4075;3.50E+02
1.4125;3.46E+02
1.4175;3.44E+02
1.4225;3.43E+02
1.4275;3.48E+02
1.4325;3.37E+02
1.4375;3.31E+02
1.4425;3.27E+02
1.4475;3.18E+02
1.4525;3.23E+02
1.4575;3.07E+02
1.4625;3.17E+02
1.4675;3.11E+02
1.4725;3.11E+02
1.4775;3.07E+02
1.4825;3.03E+02
1.4875;2.99E+02
1.4925;3.03E+02
1.4975;3.00E+02
1.5025;2.96E+02
1.5075;2.95E+02
1.5125;2.90E+02
1.5175;2.90E+02
1.5225;2.86E+02
1.5275;2.90E+02
1.5325;2.82E+02
1.5375;2.75E+02
1.5425;2.75E+02
1.5475;2.74E+02
1.5525;2.73E+02
1.5575;2.72E+02
1.5625;2.70E+02
1.5675;2.63E+02
1.5725;2.60E+02
1.5775;2.59E+02
1.5825;2.55E+02
1.5875;2.52E+02
1.5925;2.46E+02
1.5975;2.46E+02
1.6025;2.47E+02
1.6075;2.42E+02
1.6125;2.44E+02
1.6175;2.43E+02
1.6225;2.40E+02
1.6275;2.44E+02
1.6325;2.41E+02
1.6375;2.38E+02
1.6425;2.34E+02
1.6475;2.35E+02
1.6525;2.34E+02
1.6575;2.34E+02
1.6625;2.33E+02
1.6675;2.29E+02
1.6725;2.28E+02
1.6775;2.20E+02
1.6825;2.21E+02
1.6875;2.19E+02
1.6925;2.19E+02
1.6975;2.14E+02
1.7025;2.17E+02
1.7075;2.12E+02
1.7125;2.03E+02
1.7175;2.12E+02
1.7225;2.05E+02
1.7275;1.96E+02
1.7325;1.90E+02
1.7375;1.89E+02
1.7425;1.91E+02
1.7475;1.85E+02
1.7525;1.87E+02
1.7575;1.89E+02
1.7625;1.84E+02
1.7675;1.83E+02
1.7725;1.77E+02
1.7775;1.73E+02
1.7825;1.71E+02
1.7875;1.70E+02
1.7925;1.69E+02
1.7975;1.73E+02
1.8025;1.69E+02
1.8075;1.68E+02
1.8125;1.60E+02
1.8175;1.60E+02
1.8225;1.59E+02
1.8275;1.56E+02
1.8325;1.56E+02
1.8375;1.50E+02
1.8425;1.53E+02
1.8475;1.51E+02
1.8525;1.48E+02
1.8575;1.45E+02
1.8625;1.43E+02
1.8675;1.43E+02
1.8725;1.35E+02
1.8775;1.35E+02
1.8825;1.40E+02
