fl_wl;fl_irr
0.980000; 758.919983
0.982500; 760.169983
0.985000; 756.349976
0.987500; 750.010010
0.990000; 741.929993
0.992500; 744.200012
0.995000; 742.979980
0.997500; 739.690002
1.000000; 734.659973
1.002500; 730.369995
1.005000; 695.969971
1.007500; 721.380005
1.010000; 720.719971
1.012500; 716.469971
1.015000; 708.809998
1.017500; 703.809998
1.020000; 697.640015
1.022500; 697.489990
1.025000; 699.539978
1.027500; 696.690002
1.030000; 688.780029
1.032500; 682.859985
1.035000; 679.510010
1.037500; 675.010010
1.040000; 673.710022
1.042500; 671.630005
1.045000; 664.039978
1.047500; 663.479980
1.050000; 662.619995
1.052500; 656.869995
1.055000; 657.109985
1.057500; 648.830017
1.060000; 639.090027
1.062500; 642.299988
1.065000; 643.530029
1.067500; 629.929993
1.070000; 616.539978
1.072500; 623.080017
1.075000; 620.250000
1.077500; 623.010010
1.080000; 614.969971
1.082500; 596.140015
1.085000; 614.419983
1.087500; 594.479980
1.090000; 603.400024
1.092500; 593.489990
1.095000; 567.450012
1.097500; 577.150024
1.100000; 589.320007
1.102500; 579.150024
1.105000; 583.049988
1.107500; 580.219971
1.110000; 579.280029
1.112500; 570.479980
1.115000; 572.479980
1.117500; 572.809998
1.120000; 560.539978
1.122500; 567.450012
1.125000; 554.330017
1.127500; 558.690002
1.130000; 551.820007
1.132500; 551.039978
1.135000; 551.270020
1.137500; 545.309998
1.140000; 538.479980
1.142500; 541.380005
1.145000; 538.609985
1.147500; 542.510010
1.150000; 538.080017
1.152500; 534.719971
1.155000; 534.609985
1.157500; 532.530029
1.160000; 517.210022
1.162500; 521.000000
1.165000; 516.150024
1.167500; 519.429993
1.170000; 513.880005
1.172500; 518.090027
1.175000; 505.799988
1.177500; 506.899994
1.180000; 509.549988
1.182500; 494.489990
1.185000; 502.660004
1.187500; 495.899994
1.190000; 492.600006
1.192500; 499.369995
1.195000; 493.920013
1.197500; 481.649994
1.200000; 480.540009
1.202500; 480.739990
1.205000; 483.429993
1.207500; 476.200012
1.210000; 470.859985
1.212500; 479.350006
1.215000; 479.720001
1.217500; 477.540009
1.220000; 474.390015
1.222500; 471.250000
1.225000; 471.190002
1.227500; 463.519989
1.230000; 466.450012
1.232500; 462.489990
1.235000; 460.779999
1.237500; 461.299988
1.240000; 455.369995
1.242500; 451.720001
1.245000; 452.850006
1.247500; 451.079987
1.250000; 450.519989
1.252500; 444.739990
1.255000; 444.720001
1.257500; 441.440002
1.260000; 441.320007
1.262500; 438.179993
1.265000; 435.269989
1.267500; 431.000000
1.270000; 434.230011
1.272500; 431.970001
1.275000; 429.429993
1.277500; 428.510010
1.280000; 419.119995
1.282500; 386.549988
1.285000; 416.320007
1.287500; 418.660004
1.290000; 414.989990
1.292500; 415.989990
1.295000; 414.570007
1.297500; 412.049988
